Review_ID,Customer_ID,Review_Text,Rating,Date
40,CUST140,Bad response time from helpline.,2,2025-02-22
41,CUST141,Website downtime caused major inconvenience.,2,2025-04-08
42,CUST142,Very smooth experience with customer care.,5,2025-03-28
43,CUST143,Friendly customer service and quick responses.,4,2024-08-03
44,CUST144,Mobile app crashes frequently.,2,2024-05-18
45,CUST145,Interest rates are higher compared to competitors.,1,2024-07-21
46,CUST146,Website sometimes works slowly but manageable.,3,2024-09-01
47,CUST147,Overall neutral experience with minor issues.,3,2024-07-31
48,CUST148,Interest rates are higher compared to competitors.,1,2024-11-09
49,CUST149,Overall neutral experience with minor issues.,3,2024-05-25
50,CUST150,Faced issues with online transactions.,1,2024-11-03
51,CUST151,Nothing special but does the job.,3,2024-12-05
52,CUST152,Mobile app is very user-friendly and efficient.,5,2025-02-08
53,CUST153,"Neutral experience, nothing extraordinary.",3,2024-05-03
54,CUST154,Website sometimes works slowly but manageable.,3,2024-09-05
55,CUST155,Website downtime caused major inconvenience.,2,2024-05-06
56,CUST156,No hidden charges and transparent communication.,4,2025-01-31
57,CUST157,Excellent service and easy online transactions.,5,2024-08-13
58,CUST158,Secure and reliable banking experience.,4,2024-10-03
59,CUST159,Nothing special but does the job.,3,2024-05-26
60,CUST160,Overall neutral experience with minor issues.,3,2024-10-04
61,CUST161,Overall neutral experience with minor issues.,3,2024-08-19
62,CUST162,Support was acceptable but not impressive.,3,2025-02-01
63,CUST163,It’s okay for basic banking needs.,3,2024-06-17
64,CUST164,Banking experience was average.,3,2025-02-19
65,CUST165,Friendly customer service and quick responses.,5,2024-12-01
66,CUST166,ATM network is wide and accessible.,4,2025-03-13
67,CUST167,Unhelpful customer service representatives.,1,2024-11-23
68,CUST168,ATM often out of service.,1,2025-04-19
69,CUST169,Bad response time from helpline.,2,2024-08-19
70,CUST170,ATM network is wide and accessible.,4,2024-05-21
71,CUST171,It’s okay for basic banking needs.,3,2024-07-11
72,CUST172,Great offers on credit cards and savings accounts.,4,2024-04-26
73,CUST173,Great offers on credit cards and savings accounts.,5,2024-07-24
74,CUST174,ATM network is wide and accessible.,4,2025-01-12
75,CUST175,Secure and reliable banking experience.,4,2024-09-21
76,CUST176,"App features are just fine, nothing fancy.",3,2025-04-01
77,CUST177,Branches are available but crowded sometimes.,3,2024-06-17
78,CUST178,Faced issues with online transactions.,2,2025-01-10
79,CUST179,Mobile app crashes frequently.,1,2025-03-11
80,CUST180,Mobile app crashes frequently.,2,2024-10-27
81,CUST181,Mobile app is very user-friendly and efficient.,4,2025-04-19
82,CUST182,Service was neither good nor bad.,3,2025-04-11
83,CUST183,ATM often out of service.,2,2024-07-31
84,CUST184,Loan process took too long with no updates.,1,2024-08-05
85,CUST185,"Neutral experience, nothing extraordinary.",3,2024-07-06
86,CUST186,High hidden charges and slow service.,2,2024-11-20
87,CUST187,Interest rates are higher compared to competitors.,1,2024-09-30
88,CUST188,Faced issues with online transactions.,2,2025-04-13
89,CUST189,Banking experience was average.,3,2025-04-20
90,CUST190,Support was acceptable but not impressive.,3,2024-12-21
91,CUST191,Very smooth experience with customer care.,4,2024-10-04
92,CUST192,ATM often out of service.,2,2025-03-02
93,CUST193,Mobile app is very user-friendly and efficient.,5,2024-06-12
94,CUST194,No hidden charges and transparent communication.,5,2025-04-18
95,CUST195,Very smooth experience with customer care.,4,2024-11-17
96,CUST196,Unhelpful customer service representatives.,2,2024-04-25
97,CUST197,Friendly customer service and quick responses.,4,2025-02-21
98,CUST198,It’s okay for basic banking needs.,3,2024-08-16
99,CUST199,No hidden charges and transparent communication.,4,2025-01-22
100,CUST200,Website downtime caused major inconvenience.,1,2025-01-03
101,CUST201,High hidden charges and slow service.,2,2024-04-29
102,CUST202,Friendly customer service and quick responses.,4,2025-03-27
103,CUST203,Secure and reliable banking experience.,4,2025-04-18
104,CUST204,Nothing special but does the job.,3,2024-07-10
105,CUST205,Bad response time from helpline.,1,2024-10-16
106,CUST206,Loans were processed faster than expected.,5,2025-04-17
107,CUST207,Website sometimes works slowly but manageable.,3,2025-01-18
108,CUST208,No hidden charges and transparent communication.,5,2025-02-24
109,CUST209,Website downtime caused major inconvenience.,1,2024-07-09
110,CUST210,Great offers on credit cards and savings accounts.,4,2024-08-31
111,CUST211,ATM network is wide and accessible.,5,2025-02-13
112,CUST212,Overall neutral experience with minor issues.,3,2025-03-11
113,CUST213,Highly satisfied with the banking experience.,5,2025-03-27
114,CUST214,Nothing special but does the job.,3,2024-05-06
115,CUST215,Branches are available but crowded sometimes.,3,2025-01-31
116,CUST216,Website sometimes works slowly but manageable.,3,2025-02-18
117,CUST217,"App features are just fine, nothing fancy.",3,2025-02-27
118,CUST218,Friendly customer service and quick responses.,5,2024-12-12
119,CUST219,Website sometimes works slowly but manageable.,3,2024-11-12
120,CUST220,Highly satisfied with the banking experience.,5,2024-11-18
121,CUST221,Service was neither good nor bad.,3,2025-03-29
122,CUST222,Highly satisfied with the banking experience.,5,2024-05-19
123,CUST223,Website downtime caused major inconvenience.,1,2024-06-09
124,CUST224,ATM often out of service.,2,2025-02-04
125,CUST225,Loan process took too long with no updates.,2,2024-06-09
126,CUST226,It’s okay for basic banking needs.,3,2024-11-23
127,CUST227,Overall neutral experience with minor issues.,3,2024-05-17
128,CUST228,Mobile app crashes frequently.,2,2024-10-30
129,CUST229,Mobile app is very user-friendly and efficient.,4,2024-11-03
130,CUST230,Friendly customer service and quick responses.,4,2024-08-08
131,CUST231,Mobile app is very user-friendly and efficient.,4,2025-04-12
132,CUST232,Interest rates are higher compared to competitors.,1,2024-10-30
133,CUST233,Loan process took too long with no updates.,2,2024-06-21
134,CUST234,Faced issues with online transactions.,1,2025-03-29
135,CUST235,Faced issues with online transactions.,2,2024-09-04
136,CUST236,Mobile app is very user-friendly and efficient.,5,2024-11-20
137,CUST237,Excellent service and easy online transactions.,5,2024-09-17
138,CUST238,Banking experience was average.,3,2024-10-27
139,CUST239,Mobile app is very user-friendly and efficient.,4,2025-02-13
140,CUST240,Excellent service and easy online transactions.,4,2025-01-20
141,CUST241,Support was acceptable but not impressive.,3,2024-11-28
142,CUST242,Branches are available but crowded sometimes.,3,2024-06-13
143,CUST243,Great offers on credit cards and savings accounts.,4,2024-10-08
144,CUST244,ATM often out of service.,2,2024-06-11
145,CUST245,Overall neutral experience with minor issues.,3,2024-09-24
146,CUST246,Service was neither good nor bad.,3,2025-02-21
147,CUST247,Poor response to complaints and queries.,2,2024-08-22
148,CUST248,Friendly customer service and quick responses.,4,2024-07-01
149,CUST249,It’s okay for basic banking needs.,3,2024-11-16
150,CUST250,Friendly customer service and quick responses.,4,2024-11-15
151,CUST251,Secure and reliable banking experience.,5,2024-08-12
152,CUST252,Interest rates are higher compared to competitors.,2,2024-11-17
153,CUST253,"Neutral experience, nothing extraordinary.",3,2024-04-26
154,CUST254,Support was acceptable but not impressive.,3,2024-08-23
155,CUST255,High hidden charges and slow service.,1,2025-03-01
156,CUST256,ATM often out of service.,2,2024-06-12
157,CUST257,Poor response to complaints and queries.,2,2024-10-21
158,CUST258,No hidden charges and transparent communication.,4,2024-10-02
159,CUST259,ATM often out of service.,1,2024-06-06
160,CUST260,Excellent service and easy online transactions.,5,2025-03-07
161,CUST261,Loans were processed faster than expected.,4,2024-09-17
162,CUST262,Highly satisfied with the banking experience.,5,2024-12-10
163,CUST263,Friendly customer service and quick responses.,4,2025-01-17
164,CUST264,Poor response to complaints and queries.,1,2024-07-20
165,CUST265,Highly satisfied with the banking experience.,4,2024-06-04
166,CUST266,No hidden charges and transparent communication.,5,2024-11-15
167,CUST267,Friendly customer service and quick responses.,5,2024-04-26
168,CUST268,ATM network is wide and accessible.,5,2024-09-14
169,CUST269,Banking experience was average.,3,2024-10-01
170,CUST270,ATM network is wide and accessible.,4,2024-12-11
171,CUST271,It’s okay for basic banking needs.,3,2024-09-19
172,CUST272,Loans were processed faster than expected.,5,2025-03-28
173,CUST273,Friendly customer service and quick responses.,4,2024-12-25
174,CUST274,Very smooth experience with customer care.,5,2025-01-07
175,CUST275,Great offers on credit cards and savings accounts.,4,2024-10-18
176,CUST276,Loans were processed faster than expected.,4,2024-06-14
177,CUST277,ATM network is wide and accessible.,5,2024-11-03
178,CUST278,Secure and reliable banking experience.,4,2025-04-15
179,CUST279,Loan process took too long with no updates.,2,2024-10-31
180,CUST280,Loans were processed faster than expected.,5,2024-06-08
181,CUST281,High hidden charges and slow service.,2,2024-10-16
182,CUST282,Website sometimes works slowly but manageable.,3,2024-05-23
183,CUST283,Website sometimes works slowly but manageable.,3,2024-09-15
184,CUST284,Faced issues with online transactions.,2,2024-08-21
185,CUST285,Loans were processed faster than expected.,4,2024-11-08
186,CUST286,Banking experience was average.,3,2024-12-28
187,CUST287,Nothing special but does the job.,3,2025-01-30
188,CUST288,Very smooth experience with customer care.,5,2025-03-06
189,CUST289,Loan process took too long with no updates.,1,2024-11-01
190,CUST290,Unhelpful customer service representatives.,2,2025-04-20
191,CUST291,"Neutral experience, nothing extraordinary.",3,2024-11-29
192,CUST292,Loans were processed faster than expected.,4,2024-06-26
193,CUST293,Mobile app crashes frequently.,1,2024-12-30
194,CUST294,Very smooth experience with customer care.,5,2024-06-27
195,CUST295,Service was neither good nor bad.,3,2025-04-15
196,CUST296,Interest rates are higher compared to competitors.,2,2025-03-13
197,CUST297,Highly satisfied with the banking experience.,5,2024-09-13
198,CUST298,ATM network is wide and accessible.,4,2025-01-12
199,CUST299,No hidden charges and transparent communication.,4,2025-01-17
200,CUST300,Unhelpful customer service representatives.,2,2024-08-31
201,CUST301,Nothing special but does the job.,3,2024-05-05
202,CUST302,Banking experience was average.,3,2025-01-20
203,CUST303,Support was acceptable but not impressive.,3,2024-12-02
204,CUST304,Secure and reliable banking experience.,4,2024-05-07
205,CUST305,Friendly customer service and quick responses.,4,2024-06-08
206,CUST306,High hidden charges and slow service.,1,2025-03-28
207,CUST307,Banking experience was average.,3,2024-09-24
208,CUST308,Poor response to complaints and queries.,2,2025-02-07
209,CUST309,No hidden charges and transparent communication.,4,2024-10-08
210,CUST310,Secure and reliable banking experience.,4,2024-10-02
211,CUST311,Great offers on credit cards and savings accounts.,4,2024-10-04
212,CUST312,"App features are just fine, nothing fancy.",3,2024-07-06
213,CUST313,No hidden charges and transparent communication.,4,2024-09-16
214,CUST314,ATM network is wide and accessible.,5,2025-04-15
215,CUST315,Nothing special but does the job.,3,2024-07-05
216,CUST316,Mobile app is very user-friendly and efficient.,5,2025-02-02
217,CUST317,Highly satisfied with the banking experience.,5,2025-03-11
218,CUST318,Website downtime caused major inconvenience.,2,2025-04-06
219,CUST319,Loan process took too long with no updates.,2,2024-07-28
220,CUST320,Poor response to complaints and queries.,2,2024-10-07
221,CUST321,Unhelpful customer service representatives.,1,2024-09-07
222,CUST322,Secure and reliable banking experience.,4,2024-07-07
223,CUST323,It’s okay for basic banking needs.,3,2024-10-12
224,CUST324,Highly satisfied with the banking experience.,5,2024-10-13
225,CUST325,ATM network is wide and accessible.,4,2025-01-06
226,CUST326,No hidden charges and transparent communication.,4,2024-10-15
227,CUST327,Bad response time from helpline.,1,2024-06-25
228,CUST328,Website downtime caused major inconvenience.,2,2024-12-09
229,CUST329,Bad response time from helpline.,1,2024-06-06
230,CUST330,Very smooth experience with customer care.,5,2024-06-29
231,CUST331,Poor response to complaints and queries.,1,2024-07-30
232,CUST332,Banking experience was average.,3,2025-03-14
233,CUST333,Great offers on credit cards and savings accounts.,5,2024-05-07
234,CUST334,Unhelpful customer service representatives.,1,2024-06-06
235,CUST335,Nothing special but does the job.,3,2024-10-01
236,CUST336,Banking experience was average.,3,2024-08-05
237,CUST337,Banking experience was average.,3,2025-04-05
238,CUST338,Bad response time from helpline.,2,2024-05-26
239,CUST339,No hidden charges and transparent communication.,5,2024-08-29
240,CUST340,ATM often out of service.,1,2024-12-08
241,CUST341,Excellent service and easy online transactions.,5,2024-06-05
242,CUST342,Excellent service and easy online transactions.,5,2025-03-15
243,CUST343,ATM network is wide and accessible.,5,2024-11-21
244,CUST344,Poor response to complaints and queries.,2,2024-07-27
245,CUST345,Highly satisfied with the banking experience.,5,2024-04-26
246,CUST346,Loan process took too long with no updates.,2,2024-05-17
247,CUST347,ATM network is wide and accessible.,5,2024-11-12
248,CUST348,ATM often out of service.,2,2024-05-02
249,CUST349,Banking experience was average.,3,2025-03-14
250,CUST350,Website downtime caused major inconvenience.,2,2025-04-06
251,CUST351,High hidden charges and slow service.,2,2025-04-24
252,CUST352,Mobile app crashes frequently.,1,2024-09-06
253,CUST353,Friendly customer service and quick responses.,4,2025-03-13
254,CUST354,Great offers on credit cards and savings accounts.,4,2024-11-19
255,CUST355,Friendly customer service and quick responses.,4,2024-08-24
256,CUST356,Very smooth experience with customer care.,4,2024-10-24
257,CUST357,Nothing special but does the job.,3,2024-05-15
258,CUST358,Website sometimes works slowly but manageable.,3,2025-04-01
259,CUST359,Loans were processed faster than expected.,5,2025-02-22
260,CUST360,ATM often out of service.,1,2024-10-28
261,CUST361,Mobile app is very user-friendly and efficient.,4,2024-09-21
262,CUST362,ATM often out of service.,2,2024-08-22
263,CUST363,Banking experience was average.,3,2025-01-03
264,CUST364,Mobile app is very user-friendly and efficient.,4,2024-07-02
265,CUST365,Nothing special but does the job.,3,2024-05-09
266,CUST366,Website downtime caused major inconvenience.,1,2025-02-01
267,CUST367,It’s okay for basic banking needs.,3,2024-05-15
268,CUST368,Friendly customer service and quick responses.,5,2024-06-02
269,CUST369,Overall neutral experience with minor issues.,3,2024-08-23
270,CUST370,Website downtime caused major inconvenience.,1,2024-06-07
271,CUST371,Mobile app is very user-friendly and efficient.,5,2025-01-27
272,CUST372,No hidden charges and transparent communication.,4,2025-02-22
273,CUST373,Mobile app is very user-friendly and efficient.,5,2024-08-14
274,CUST374,Secure and reliable banking experience.,5,2024-08-11
275,CUST375,Secure and reliable banking experience.,5,2025-02-05
276,CUST376,Highly satisfied with the banking experience.,5,2024-06-18
277,CUST377,It’s okay for basic banking needs.,3,2025-02-04
278,CUST378,No hidden charges and transparent communication.,5,2025-03-31
279,CUST379,Unhelpful customer service representatives.,2,2024-07-22
280,CUST380,ATM often out of service.,2,2025-03-29
281,CUST381,Friendly customer service and quick responses.,4,2025-01-22
282,CUST382,Poor response to complaints and queries.,2,2024-05-01
283,CUST383,Unhelpful customer service representatives.,1,2024-08-18
284,CUST384,Loans were processed faster than expected.,4,2024-05-02
285,CUST385,Website sometimes works slowly but manageable.,3,2024-09-27
286,CUST386,Branches are available but crowded sometimes.,3,2025-04-03
287,CUST387,Secure and reliable banking experience.,4,2024-10-27
288,CUST388,No hidden charges and transparent communication.,5,2024-09-22
289,CUST389,High hidden charges and slow service.,1,2024-11-16
290,CUST390,Bad response time from helpline.,2,2024-06-27
291,CUST391,No hidden charges and transparent communication.,4,2024-11-13
292,CUST392,Unhelpful customer service representatives.,2,2024-05-19
293,CUST393,Very smooth experience with customer care.,5,2024-07-05
294,CUST394,ATM network is wide and accessible.,5,2024-06-24
295,CUST395,Great offers on credit cards and savings accounts.,5,2024-12-17
296,CUST396,Secure and reliable banking experience.,4,2025-04-16
297,CUST397,Website sometimes works slowly but manageable.,3,2025-03-30
298,CUST398,Overall neutral experience with minor issues.,3,2024-09-11
299,CUST399,Poor response to complaints and queries.,1,2024-07-21
300,CUST400,Friendly customer service and quick responses.,4,2024-06-09
301,CUST401,Loan process took too long with no updates.,2,2024-10-24
302,CUST402,Website downtime caused major inconvenience.,2,2024-09-04
303,CUST403,"Neutral experience, nothing extraordinary.",3,2024-12-27
304,CUST404,Mobile app is very user-friendly and efficient.,4,2024-11-26
305,CUST405,Very smooth experience with customer care.,4,2024-08-12
306,CUST406,"App features are just fine, nothing fancy.",3,2024-07-02
307,CUST407,Great offers on credit cards and savings accounts.,5,2024-07-21
308,CUST408,Loans were processed faster than expected.,5,2024-09-05
309,CUST409,No hidden charges and transparent communication.,5,2024-07-08
310,CUST410,Branches are available but crowded sometimes.,3,2024-05-14
311,CUST411,It’s okay for basic banking needs.,3,2024-12-28
312,CUST412,Unhelpful customer service representatives.,2,2024-06-21
313,CUST413,"Neutral experience, nothing extraordinary.",3,2024-10-18
314,CUST414,"Neutral experience, nothing extraordinary.",3,2024-11-12
315,CUST415,"App features are just fine, nothing fancy.",3,2025-02-09
316,CUST416,Website downtime caused major inconvenience.,2,2024-09-02
317,CUST417,Friendly customer service and quick responses.,4,2025-02-08
318,CUST418,Faced issues with online transactions.,2,2024-10-06
319,CUST419,Support was acceptable but not impressive.,3,2025-01-21
320,CUST420,Mobile app is very user-friendly and efficient.,5,2024-04-30
321,CUST421,It’s okay for basic banking needs.,3,2024-12-29
322,CUST422,Poor response to complaints and queries.,2,2024-05-16
323,CUST423,Mobile app crashes frequently.,1,2024-05-20
324,CUST424,Loans were processed faster than expected.,4,2024-05-04
325,CUST425,Poor response to complaints and queries.,2,2024-10-01
326,CUST426,Friendly customer service and quick responses.,4,2025-02-12
327,CUST427,Website downtime caused major inconvenience.,2,2024-12-20
328,CUST428,Highly satisfied with the banking experience.,5,2024-08-03
329,CUST429,Very smooth experience with customer care.,4,2024-06-26
330,CUST430,Mobile app crashes frequently.,1,2024-05-21
331,CUST431,Unhelpful customer service representatives.,2,2025-03-14
332,CUST432,Support was acceptable but not impressive.,3,2024-11-05
333,CUST433,ATM network is wide and accessible.,5,2024-06-21
334,CUST434,Bad response time from helpline.,2,2025-03-17
335,CUST435,Friendly customer service and quick responses.,4,2024-10-06
336,CUST436,Banking experience was average.,3,2024-08-05
337,CUST437,Poor response to complaints and queries.,2,2024-07-27
338,CUST438,Mobile app is very user-friendly and efficient.,5,2024-11-03
339,CUST439,Poor response to complaints and queries.,2,2024-10-01
340,CUST440,Loan process took too long with no updates.,2,2024-09-14
341,CUST441,Loan process took too long with no updates.,1,2024-12-06
342,CUST442,Highly satisfied with the banking experience.,4,2025-03-09
343,CUST443,Excellent service and easy online transactions.,4,2024-05-29
344,CUST444,Branches are available but crowded sometimes.,3,2025-01-18
345,CUST445,Website downtime caused major inconvenience.,2,2024-06-10
346,CUST446,Loans were processed faster than expected.,5,2025-04-24
347,CUST447,Website downtime caused major inconvenience.,1,2024-11-29
348,CUST448,Interest rates are higher compared to competitors.,2,2024-05-02
349,CUST449,Highly satisfied with the banking experience.,4,2024-05-20
350,CUST450,Interest rates are higher compared to competitors.,2,2024-09-20
351,CUST451,ATM network is wide and accessible.,4,2025-01-30
352,CUST452,Great offers on credit cards and savings accounts.,5,2025-04-11
353,CUST453,Highly satisfied with the banking experience.,4,2025-03-30
354,CUST454,Service was neither good nor bad.,3,2024-05-07
355,CUST455,High hidden charges and slow service.,1,2024-08-13
356,CUST456,Mobile app crashes frequently.,1,2024-09-25
357,CUST457,Banking experience was average.,3,2025-03-23
358,CUST458,Faced issues with online transactions.,1,2025-01-12
359,CUST459,No hidden charges and transparent communication.,4,2025-02-19
360,CUST460,Secure and reliable banking experience.,5,2025-01-29
361,CUST461,Loans were processed faster than expected.,4,2024-05-08
362,CUST462,Excellent service and easy online transactions.,4,2024-07-23
363,CUST463,"App features are just fine, nothing fancy.",3,2024-05-01
364,CUST464,ATM network is wide and accessible.,5,2025-04-09
365,CUST465,Friendly customer service and quick responses.,5,2025-02-17
366,CUST466,Website downtime caused major inconvenience.,2,2025-03-20
367,CUST467,Banking experience was average.,3,2024-10-17
368,CUST468,No hidden charges and transparent communication.,5,2024-05-09
369,CUST469,Website sometimes works slowly but manageable.,3,2025-02-17
370,CUST470,Website sometimes works slowly but manageable.,3,2024-09-19
371,CUST471,No hidden charges and transparent communication.,5,2024-12-30
372,CUST472,Friendly customer service and quick responses.,4,2024-12-20
373,CUST473,Very smooth experience with customer care.,4,2024-09-03
374,CUST474,Loans were processed faster than expected.,5,2024-09-28
375,CUST475,Faced issues with online transactions.,2,2024-05-10
376,CUST476,Bad response time from helpline.,1,2025-02-11
377,CUST477,Highly satisfied with the banking experience.,4,2024-11-28
378,CUST478,Unhelpful customer service representatives.,2,2024-12-11
379,CUST479,"App features are just fine, nothing fancy.",3,2025-01-23
380,CUST480,It’s okay for basic banking needs.,3,2024-11-21
381,CUST481,Secure and reliable banking experience.,4,2025-02-16
382,CUST482,Nothing special but does the job.,3,2024-12-29
383,CUST483,Loans were processed faster than expected.,5,2024-12-20
384,CUST484,Highly satisfied with the banking experience.,5,2024-12-19
385,CUST485,Secure and reliable banking experience.,5,2024-10-03
386,CUST486,No hidden charges and transparent communication.,5,2025-04-18
387,CUST487,Support was acceptable but not impressive.,3,2024-12-04
388,CUST488,Friendly customer service and quick responses.,4,2024-09-14
389,CUST489,Website downtime caused major inconvenience.,2,2024-05-14
390,CUST490,ATM network is wide and accessible.,5,2024-06-24
391,CUST491,High hidden charges and slow service.,1,2024-12-24
392,CUST492,ATM network is wide and accessible.,4,2024-10-20
393,CUST493,Highly satisfied with the banking experience.,5,2025-01-19
394,CUST494,Great offers on credit cards and savings accounts.,4,2024-12-13
395,CUST495,No hidden charges and transparent communication.,5,2025-01-14
396,CUST496,Very smooth experience with customer care.,4,2024-11-22
397,CUST497,Secure and reliable banking experience.,4,2024-05-29
398,CUST498,Very smooth experience with customer care.,4,2024-12-31
399,CUST499,Friendly customer service and quick responses.,5,2024-12-03
400,CUST500,No hidden charges and transparent communication.,4,2024-06-28
401,CUST501,Secure and reliable banking experience.,5,2025-03-17
402,CUST502,Mobile app is very user-friendly and efficient.,5,2025-03-23
403,CUST503,High hidden charges and slow service.,2,2024-11-24
404,CUST504,Website downtime caused major inconvenience.,1,2024-10-14
405,CUST505,Highly satisfied with the banking experience.,5,2024-12-01
406,CUST506,Great offers on credit cards and savings accounts.,5,2024-07-01
407,CUST507,Overall neutral experience with minor issues.,3,2025-03-18
408,CUST508,Service was neither good nor bad.,3,2024-05-13
409,CUST509,Overall neutral experience with minor issues.,3,2024-05-14
410,CUST510,Overall neutral experience with minor issues.,3,2024-10-04
411,CUST511,ATM network is wide and accessible.,5,2024-05-11
412,CUST512,Bad response time from helpline.,2,2024-05-26
413,CUST513,Loans were processed faster than expected.,5,2025-04-08
414,CUST514,Branches are available but crowded sometimes.,3,2025-03-22
415,CUST515,Interest rates are higher compared to competitors.,1,2025-04-04
416,CUST516,Nothing special but does the job.,3,2024-12-31
417,CUST517,Nothing special but does the job.,3,2025-01-05
418,CUST518,Website sometimes works slowly but manageable.,3,2025-02-10
419,CUST519,Loans were processed faster than expected.,4,2025-03-17
420,CUST520,Website sometimes works slowly but manageable.,3,2025-02-18
421,CUST521,"App features are just fine, nothing fancy.",3,2024-12-26
422,CUST522,Highly satisfied with the banking experience.,4,2024-06-04
423,CUST523,Branches are available but crowded sometimes.,3,2025-01-24
424,CUST524,Highly satisfied with the banking experience.,5,2024-07-16
425,CUST525,Website sometimes works slowly but manageable.,3,2024-10-07
426,CUST526,Excellent service and easy online transactions.,4,2025-03-25
427,CUST527,Service was neither good nor bad.,3,2024-11-15
428,CUST528,Highly satisfied with the banking experience.,5,2024-11-22
429,CUST529,Bad response time from helpline.,2,2024-12-19
430,CUST530,Unhelpful customer service representatives.,1,2024-10-10
431,CUST531,Branches are available but crowded sometimes.,3,2025-03-27
432,CUST532,Poor response to complaints and queries.,1,2024-05-05
433,CUST533,Loans were processed faster than expected.,4,2024-12-29
434,CUST534,Overall neutral experience with minor issues.,3,2025-04-19
435,CUST535,ATM network is wide and accessible.,5,2024-10-16
436,CUST536,Service was neither good nor bad.,3,2024-08-17
437,CUST537,Very smooth experience with customer care.,4,2024-06-04
438,CUST538,Unhelpful customer service representatives.,1,2024-07-29
439,CUST539,Poor response to complaints and queries.,1,2025-01-09
440,CUST540,Loan process took too long with no updates.,1,2024-04-25
441,CUST541,Loans were processed faster than expected.,4,2024-11-17
442,CUST542,Interest rates are higher compared to competitors.,1,2024-09-21
443,CUST543,Interest rates are higher compared to competitors.,1,2024-08-25
444,CUST544,Nothing special but does the job.,3,2024-05-05
445,CUST545,It’s okay for basic banking needs.,3,2024-06-28
446,CUST546,Unhelpful customer service representatives.,2,2024-04-25
447,CUST547,Website sometimes works slowly but manageable.,3,2024-06-22
448,CUST548,Very smooth experience with customer care.,5,2024-12-18
449,CUST549,Highly satisfied with the banking experience.,4,2024-08-29
450,CUST550,"Neutral experience, nothing extraordinary.",3,2025-03-03
451,CUST551,Interest rates are higher compared to competitors.,1,2024-08-27
452,CUST552,Mobile app crashes frequently.,1,2024-08-31
453,CUST553,"Neutral experience, nothing extraordinary.",3,2024-07-13
454,CUST554,Nothing special but does the job.,3,2024-10-12
455,CUST555,Very smooth experience with customer care.,4,2024-10-15
456,CUST556,Mobile app is very user-friendly and efficient.,4,2024-10-27
457,CUST557,No hidden charges and transparent communication.,4,2025-01-03
458,CUST558,It’s okay for basic banking needs.,3,2024-09-01
459,CUST559,Loan process took too long with no updates.,1,2024-07-14
460,CUST560,Support was acceptable but not impressive.,3,2025-04-10
461,CUST561,ATM often out of service.,2,2024-10-07
462,CUST562,Very smooth experience with customer care.,4,2025-01-19
463,CUST563,It’s okay for basic banking needs.,3,2025-01-15
464,CUST564,ATM often out of service.,1,2024-11-05
465,CUST565,Excellent service and easy online transactions.,5,2024-06-01
466,CUST566,It’s okay for basic banking needs.,3,2025-02-17
467,CUST567,Loans were processed faster than expected.,4,2025-02-01
468,CUST568,Website downtime caused major inconvenience.,1,2025-03-29
